visitorid,itemid,folder,file_path,image_path
1,187946,images/,17716_CLOTHI_check.jpeg,images/17716_CLOTHI_check.jpeg
2,461686,images/,17717_CLOTHI_check.jpeg,images/17717_CLOTHI_check.jpeg
3,5411,images/,17719_CLOTHI_check.jpeg,images/17719_CLOTHI_check.jpeg
10,370653,images/,17725_CLOTHI_check.jpeg,images/17725_CLOTHI_check.jpeg
11,298009,images/,17730_CLOTHI_check.jpeg,images/17730_CLOTHI_check.jpeg
13,219512,images/,17726_CLOTHI_check.jpeg,images/17726_CLOTHI_check.jpeg
17,257040,images/,17728_CLOTHI_check.jpeg,images/17728_CLOTHI_check.jpeg
23,96924,images/,17731_CLOTHI_check.jpeg,images/17731_CLOTHI_check.jpeg
25,309778,images/,17733_CLOTHI_check.jpeg,images/17733_CLOTHI_check.jpeg
28,384302,images/,17756_CLOTHI_check.jpeg,images/17756_CLOTHI_check.jpeg
30,320130,images/,17759_ELECTR_check.jpeg,images/17759_ELECTR_check.jpeg
37,441668,images/,17775_ELECTR_check.jpeg,images/17775_ELECTR_check.jpeg
41,190000,images/,17788_ELECTR_check.jpeg,images/17788_ELECTR_check.jpeg
43,151444,images/,17789_ELECTR_check.jpeg,images/17789_ELECTR_check.jpeg
52,369447,images/,17798_ELECTR_check.jpeg,images/17798_ELECTR_check.jpeg
57,142466,images/,17988_HOBBY__check.jpeg,images/17988_HOBBY__check.jpeg
60,315543,images/,18000_HOBBY__check.jpeg,images/18000_HOBBY__check.jpeg
38015,241555,images/,18060_HOME_K_check.jpeg,images/18060_HOME_K_check.jpeg
53842,290999,images/,18053_HOME_K_check.jpeg,images/18053_HOME_K_check.jpeg
57905,341482,images/,18168_SPORTS_check.jpeg,images/18168_SPORTS_check.jpeg
76757,7943,images/,17771_ELECTR_check.jpeg,images/17771_ELECTR_check.jpeg
77390,29196,images/,18017_HOME_K_check.jpeg,images/18017_HOME_K_check.jpeg
79627,37029,images/,17790_ELECTR_check.jpeg,images/17790_ELECTR_check.jpeg
85734,65273,images/,17978_HOBBY__check.jpeg,images/17978_HOBBY__check.jpeg
138131,9877,images/,17966_HOBBY__check.jpeg,images/17966_HOBBY__check.jpeg
173863,315545,images/,18146_SPORTS_check.jpeg,images/18146_SPORTS_check.jpeg
198270,400946,images/,18019_HOME_K_check.jpeg,images/18019_HOME_K_check.jpeg
229157,445351,images/,18002_HOBBY__check.jpeg,images/18002_HOBBY__check.jpeg
247235,234255,images/,17784_ELECTR_check.jpeg,images/17784_ELECTR_check.jpeg
316850,335975,images/,17776_ELECTR_check.jpeg,images/17776_ELECTR_check.jpeg
350566,312728,images/,17974_HOBBY__check.jpeg,images/17974_HOBBY__check.jpeg
389532,102306,images/,18039_HOME_K_check.jpeg,images/18039_HOME_K_check.jpeg
468309,247909,images/,18174_SPORTS_check.jpeg,images/18174_SPORTS_check.jpeg
519839,84160,images/,18170_SPORTS_check.jpeg,images/18170_SPORTS_check.jpeg
527307,350629,images/,18033_HOME_K_check.jpeg,images/18033_HOME_K_check.jpeg
548772,133814,images/,18138_SPORTS_check.jpeg,images/18138_SPORTS_check.jpeg
638482,111530,images/,17773_ELECTR_check.jpeg,images/17773_ELECTR_check.jpeg
705542,441852,images/,18051_HOME_K_check.jpeg,images/18051_HOME_K_check.jpeg
737053,161623,images/,18004_HOBBY__check.jpeg,images/18004_HOBBY__check.jpeg
757355,48030,images/,17998_HOBBY__check.jpeg,images/17998_HOBBY__check.jpeg
765630,112782,images/,17994_HOBBY__check.jpeg,images/17994_HOBBY__check.jpeg
809822,29100,images/,18044_HOME_K_check.jpeg,images/18044_HOME_K_check.jpeg
825321,354233,images/,18042_HOME_K_check.jpeg,images/18042_HOME_K_check.jpeg
890980,434782,images/,18005_HOBBY__check.jpeg,images/18005_HOBBY__check.jpeg
1126569,91755,images/,18029_HOME_K_check.jpeg,images/18029_HOME_K_check.jpeg
1143383,420960,images/,18158_SPORTS_check.jpeg,images/18158_SPORTS_check.jpeg
1165148,455183,images/,18076_HOME_K_check.jpeg,images/18076_HOME_K_check.jpeg
1293358,12217,images/,18149_SPORTS_check.jpeg,images/18149_SPORTS_check.jpeg
1327144,133907,images/,18137_SPORTS_check.jpeg,images/18137_SPORTS_check.jpeg
1336835,119736,images/,18156_SPORTS_check.jpeg,images/18156_SPORTS_check.jpeg
